# x	y	u	v	mask
  0.2715	 28.6881	  0.0000	  0.0000	  0.0000
  0.4525	 28.6881	  0.0000	  0.0000	  0.0000
  0.6335	 28.6881	  0.0000	  0.0000	  0.0000
  0.8145	 28.6881	  0.0000	  0.0000	  0.0000
  0.9955	 28.6881	  0.0000	  0.0000	  0.0000
  1.1765	 28.6881	  0.0000	  0.0000	  0.0000
  1.3575	 28.6881	  0.0000	  0.0000	  0.0000
  1.5385	 28.6881	  0.0000	  0.0000	  0.0000
  1.7195	 28.6881	  0.0000	  0.0000	  0.0000
  1.9005	 28.6881	  0.0000	  0.0000	  0.0000
  2.0815	 28.6881	  0.0000	  0.0000	  0.0000
  2.2625	 28.6881	  0.0000	  0.0000	  0.0000
  2.4435	 28.6881	  0.0000	  0.0000	  0.0000
  2.6245	 28.6881	  0.0000	  0.0000	  0.0000
  2.8055	 28.6881	  0.0000	  0.0000	  0.0000
  2.9865	 28.6881	  0.0000	  0.0000	  0.0000
  3.1675	 28.6881	  0.0000	  0.0000	  0.0000
  3.3485	 28.6881	  0.0000	  0.0000	  0.0000
  3.5295	 28.6881	  0.0000	  0.0000	  0.0000
  3.7105	 28.6881	  0.0000	  0.0000	  0.0000
  3.8915	 28.6881	  0.0000	  0.0000	  0.0000
  4.0724	 28.6881	  0.0000	  0.0000	  0.0000
  4.2534	 28.6881	  0.0000	  0.0000	  0.0000
  4.4344	 28.6881	  0.0000	  0.0000	  0.0000
  4.6154	 28.6881	  0.0000	  0.0000	  0.0000
  4.7964	 28.6881	  0.0000	  0.0000	  0.0000
  4.9774	 28.6881	  0.0000	  0.0000	  0.0000
  5.1584	 28.6881	  0.0000	  0.0000	  0.0000
  5.3394	 28.6881	  0.0000	  0.0000	  0.0000
  5.5204	 28.6881	  0.0000	  0.0000	  0.0000
  5.7014	 28.6881	  0.0000	  0.0000	  0.0000
  5.8824	 28.6881	  0.0000	  0.0000	  0.0000
  6.0634	 28.6881	  0.0000	  0.0000	  0.0000
  6.2444	 28.6881	  0.0000	  0.0000	  0.0000
  6.4254	 28.6881	  0.0000	  0.0000	  0.0000
  6.6064	 28.6881	  0.0000	  0.0000	  0.0000
  6.7874	 28.6881	  0.0000	  0.0000	  0.0000
  6.9684	 28.6881	  0.0000	  0.0000	  0.0000
  7.1494	 28.6881	  0.0000	  0.0000	  0.0000
  7.3304	 28.6881	  0.0000	  0.0000	  0.0000
  7.5114	 28.6881	  0.0000	  0.0000	  0.0000
  7.6924	 28.6881	  0.0000	  0.0000	  0.0000
  7.8734	 28.6881	  0.0000	  0.0000	  0.0000
  8.0544	 28.6881	  0.0000	  0.0000	  0.0000
  8.2354	 28.6881	  0.0000	  0.0000	  0.0000
  8.4164	 28.6881	  0.0000	  0.0000	  0.0000
  8.5974	 28.6881	  0.0000	  0.0000	  0.0000
  8.7784	 28.6881	  0.0000	  0.0000	  0.0000
  8.9594	 28.6881	  0.0000	  0.0000	  0.0000
  9.1404	 28.6881	  0.0000	  0.0000	  0.0000
  9.3214	 28.6881	  0.0000	  0.0000	  0.0000
  9.5024	 28.6881	  0.0000	  0.0000	  0.0000
  9.6834	 28.6881	  0.0000	  0.0000	  0.0000
  9.8644	 28.6881	  0.0000	  0.0000	  0.0000
 10.0454	 28.6881	  0.0000	  0.0000	  0.0000
 10.2264	 28.6881	  0.0000	  0.0000	  0.0000
 10.4074	 28.6881	  0.0000	  0.0000	  0.0000
 10.5884	 28.6881	  0.0000	  0.0000	  0.0000
 10.7694	 28.6881	  0.0000	  0.0000	  0.0000
 10.9504	 28.6881	  0.0000	  0.0000	  0.0000
 11.1314	 28.6881	  0.0000	  0.0000	  0.0000
 11.3124	 28.6881	  0.0000	  0.0000	  0.0000
 11.4934	 28.6881	  0.0000	  0.0000	  0.0000
 11.6744	 28.6881	  0.0000	  0.0000	  0.0000
 11.8554	 28.6881	  0.0000	  0.0000	  0.0000
 12.0363	 28.6881	  0.0000	  0.0000	  0.0000
 12.2173	 28.6881	  0.0000	  0.0000	  0.0000
 12.3983	 28.6881	  0.0000	  0.0000	  0.0000
 12.5793	 28.6881	  0.0000	  0.0000	  0.0000
 12.7603	 28.6881	  0.0000	  0.0000	  0.0000
 12.9413	 28.6881	  0.0000	  0.0000	  0.0000
 13.1223	 28.6881	  0.0000	  0.0000	  0.0000
 13.3033	 28.6881	  0.0000	  0.0000	  0.0000
 13.4843	 28.6881	  0.0000	  0.0000	  0.0000
 13.6653	 28.6881	  0.0000	  0.0000	  0.0000
 13.8463	 28.6881	  0.0000	  0.0000	  0.0000
 14.0273	 28.6881	  0.0000	  0.0000	  0.0000
 14.2083	 28.6881	  0.0000	  0.0000	  0.0000
 14.3893	 28.6881	  0.0000	  0.0000	  0.0000
 14.5703	 28.6881	  0.0000	  0.0000	  0.0000
 14.7513	 28.6881	  0.0000	  0.0000	  0.0000
 14.9323	 28.6881	  0.0000	  0.0000	  0.0000
 15.1133	 28.6881	  0.0000	  0.0000	  0.0000
 15.2943	 28.6881	  0.0000	  0.0000	  0.0000
 15.4753	 28.6881	  0.0000	  0.0000	  0.0000
 15.6563	 28.6881	  0.0000	  0.0000	  0.0000
 15.8373	 28.6881	  0.0000	  0.0000	  0.0000
 16.0183	 28.6881	  0.0000	  0.0000	  0.0000
  0.2715	 28.5071	  0.0000	  0.0000	  0.0000
  0.4525	 28.5071	  0.0000	  0.0000	  0.0000
  0.6335	 28.5071	  0.0000	  0.0000	  0.0000
  0.8145	 28.5071	  0.0000	  0.0000	  0.0000
